metadata_id, metadata_pid, genre, resource_type
1683,uva-lib:1003228,,Text
1684,uva-lib:770509,,Text
1685,uva-lib:770508,,Text
1686,uva-lib:770511,,Text
1687,uva-lib:770514,,Text
1688,uva-lib:770627,,Text
1689,uva-lib:649707,,Text
1690,uva-lib:770510,,Text
1691,uva-lib:1003229,,Text
1692,uva-lib:1003230,,Text
1693,uva-lib:1003231,,Text
1694,uva-lib:1003232,,Text
1695,uva-lib:1003233,,Text
1696,uva-lib:1003234,,Text
1697,uva-lib:770515,,Text
1698,uva-lib:1003235,,Text
1700,uva-lib:1003237,,Text
1701,uva-lib:1003238,,Text
1702,uva-lib:1003239,,Text
1703,uva-lib:1003240,,Text
1704,uva-lib:1003241,,Text
1705,uva-lib:1003242,,Text
1706,uva-lib:1003243,,Text
1707,uva-lib:1003244,,Text
1708,uva-lib:1003245,,Text
1709,uva-lib:1003246,,Text
1710,uva-lib:1003247,,Text
1711,uva-lib:770644,,Text
1712,uva-lib:770517,,Text
1713,uva-lib:770516,,Text
1714,uva-lib:770519,,Text
1715,uva-lib:770518,,Text
1716,uva-lib:763927,,Text
1717,uva-lib:770634,,Text
1718,uva-lib:770520,,Text
1719,uva-lib:770639,,Text
1720,uva-lib:1003248,,Text
1721,uva-lib:770632,,Text
1722,uva-lib:770640,,Text
1727,uva-lib:1003249,,Text
1728,uva-lib:729250,,Text
1729,uva-lib:1003250,,Text
1730,uva-lib:770628,,Text
1732,uva-lib:770629,,Text
1733,uva-lib:770630,,Text
1734,uva-lib:770631,,Text
1735,uva-lib:770633,,Text
1736,uva-lib:727409,,Text
1737,uva-lib:770643,,Text
1738,uva-lib:770635,,Text
1739,uva-lib:1003251,,Text
1740,uva-lib:770641,,Text
1741,uva-lib:770636,,Text
1742,uva-lib:770637,,Text
1744,uva-lib:770638,,Text
1745,uva-lib:770642,,Text
1746,uva-lib:770662,,Text
1747,uva-lib:770648,,Text
1748,uva-lib:770647,,Text
1749,uva-lib:770645,,Text
1750,uva-lib:729252,,Text
1751,uva-lib:770646,,Text
1752,uva-lib:1003252,,Text
1753,uva-lib:770661,,Text
1754,uva-lib:1003253,,Text
1755,uva-lib:770660,,Text
1756,uva-lib:770659,,Text
1757,uva-lib:616445,,Text
1758,uva-lib:770658,,Text
1759,uva-lib:770649,,Text
1760,uva-lib:770650,,Text
1761,uva-lib:770651,,Text
1762,uva-lib:770652,,Text
1763,uva-lib:770653,,Text
1764,uva-lib:770654,,Text
2001,uva-lib:770590,,Cartographic
2002,uva-lib:626894,,Cartographic
2003,uva-lib:626895,,Cartographic
2004,uva-lib:1003254,,Cartographic
2005,uva-lib:626896,,Cartographic
2006,uva-lib:626897,,Cartographic
2007,uva-lib:627105,,Cartographic
2008,uva-lib:1003255,,Cartographic
2009,uva-lib:1003256,,Cartographic
2010,uva-lib:1003257,,Cartographic
2011,uva-lib:1003258,,Cartographic
2013,uva-lib:1003260,,Cartographic
2014,uva-lib:743742,,Cartographic
2015,uva-lib:627114,,Cartographic
2016,uva-lib:1003261,,Cartographic
2017,uva-lib:1003262,,Cartographic
2018,uva-lib:1003263,,Cartographic
2019,uva-lib:1003264,,Cartographic
2020,uva-lib:1003265,,Cartographic
2021,uva-lib:1003266,,Cartographic
2022,uva-lib:830004,,Cartographic
2023,uva-lib:1003267,,Cartographic
2024,uva-lib:1003268,,Cartographic
2025,uva-lib:1003269,,Cartographic
2027,uva-lib:1003270,,Cartographic
2028,uva-lib:1003271,,Cartographic
2029,uva-lib:1003272,,Cartographic
2030,uva-lib:1003273,,Cartographic
2031,uva-lib:1003274,,Cartographic
2032,uva-lib:1003275,,Cartographic
2033,uva-lib:1003276,,Cartographic
2034,uva-lib:1003277,,Cartographic
2035,uva-lib:1003278,,Cartographic
2036,uva-lib:1003279,,Cartographic
2037,uva-lib:1003280,,Cartographic
2038,uva-lib:1003281,,Cartographic
2039,uva-lib:1003282,,Cartographic
2040,uva-lib:1003283,,Cartographic
2041,uva-lib:1003284,,Cartographic
2042,uva-lib:1003285,,Cartographic
2043,uva-lib:1003286,,Cartographic
2044,uva-lib:1003287,,Cartographic
2045,uva-lib:1003288,,Cartographic
2046,uva-lib:1003289,,Cartographic
2047,uva-lib:1003290,,Cartographic
2048,uva-lib:1003291,,Cartographic
2049,uva-lib:1003292,,Cartographic
2050,uva-lib:1003293,,Cartographic
2051,uva-lib:1003294,,Cartographic
2052,uva-lib:1003295,,Cartographic
2053,uva-lib:1003296,,Cartographic
2054,uva-lib:1003297,,Cartographic
2055,uva-lib:1003298,,Cartographic
2056,uva-lib:1003299,,Cartographic
2057,uva-lib:1003300,,Cartographic
2058,uva-lib:1003301,,Cartographic
2059,uva-lib:1003302,,Cartographic
2060,uva-lib:1003303,,Cartographic
2061,uva-lib:1003304,,Cartographic
2062,uva-lib:1003305,,Cartographic
